DON_OPO,CAS_Period,Mean_LUNDON,Median_LUNDON,N
ALOB,Post-CAS,27.08810915303943,12.808644633886807,460
ALOB,Pre-CAS,24.026093105139836,8.400243226754036,861
AROR,Post-CAS,27.541513109377934,15.002918887447088,234
AROR,Pre-CAS,26.566439163675998,13.85733901554976,297
AZOB,Post-CAS,26.674569810373164,17.91117478798892,443
AZOB,Pre-CAS,28.492396046666737,20.244343824304167,953
CADN,Post-CAS,28.157926138416062,16.57735325691498,706
CADN,Pre-CAS,25.11964340893971,13.31998771560177,1450
CAGS,Post-CAS,51.92121156066714,53.86083556227004,61
CAGS,Pre-CAS,52.12409172336885,60.24346942006266,103
CAOP,Post-CAS,31.656993165401186,28.60139192939547,1131
CAOP,Pre-CAS,33.072769981964555,29.989547401616555,2265
CASD,Post-CAS,33.93954747702132,27.179689804549994,242
CASD,Pre-CAS,34.300846131578226,28.497165636432428,388
CORS,Post-CAS,28.479949652498618,20.120332963102364,337
CORS,Pre-CAS,21.76670294101447,6.780716895704682,641
DCTC,Pre-CAS,49.56124709159687,53.54116836537722,198
FLFH,Post-CAS,36.77504784613007,32.259416058406295,292
FLFH,Pre-CAS,33.49618762247775,28.723424179464775,727
FLMP,Post-CAS,25.504548888930138,15.195867159720617,293
FLMP,Pre-CAS,26.884646405724123,19.80694841046785,679
FLUF,Post-CAS,27.852260396119924,16.986567209306948,374
FLUF,Pre-CAS,24.411864376779917,11.08262497516736,752
FLWC,Post-CAS,27.60476357709275,14.67366595662353,496
FLWC,Pre-CAS,23.383937375870637,10.087198284406943,1110
GALL,Post-CAS,40.08051592723393,39.84036246837598,676
GALL,Pre-CAS,27.399946310440555,17.050653042078324,1390
HIOP,Post-CAS,27.96406154001537,15.849065759280819,24
HIOP,Pre-CAS,24.073661731244314,12.255284874383989,130
IAOP,Post-CAS,26.22617908288019,21.35039629858502,126
IAOP,Pre-CAS,25.427293764076392,12.862592535778006,343
ILIP,Post-CAS,28.41898888246918,19.579084069894297,693
ILIP,Pre-CAS,24.339609977288998,12.108465792174487,1663
INOP,Post-CAS,29.99109664325225,20.20627356845209,546
INOP,Pre-CAS,30.802718999884444,25.537274408903144,890
KYDA,Post-CAS,19.851027144233377,5.327305732601061,393
KYDA,Pre-CAS,22.52565522808863,9.766192022170873,620
LAOP,Post-CAS,35.31271461301962,31.13583726135551,440
LAOP,Pre-CAS,33.6923572849557,26.31865545418239,920
MAOB,Post-CAS,24.203914521417605,12.432165093992781,535
MAOB,Pre-CAS,30.41320262470153,20.32562674783834,630
MDPC,Post-CAS,46.34378937296034,50.61342450927948,166
MDPC,Pre-CAS,30.10561625434041,22.944597889510298,626
MIOP,Post-CAS,26.846223293929558,16.15218851597875,558
MIOP,Pre-CAS,27.89970636836007,16.556323962266394,1165
MNOP,Post-CAS,26.198355833940816,12.306927170910352,413
MNOP,Pre-CAS,27.797299825865895,15.148559671002863,666
MOMA,Post-CAS,45.59067015564722,46.26113302765239,153
MOMA,Pre-CAS,46.59983789907594,49.81919277908042,354
MSOP,Post-CAS,34.50374536970858,24.35560163958185,163
