survival_prob,ci_lower,ci_upper,Group,GraftTime
0.9987144168962351,0.9980289459969658,0.999161602587411,Nationwide,0.0
0.9971839608203246,0.9962421755555276,0.9978899660011282,Nationwide,1.0
0.9960205999425396,0.9949282464958322,0.9968780516624218,Nationwide,2.0
0.9946120612190597,0.9933642677567478,0.9956257344202055,Nationwide,3.0
0.9935709673799659,0.9922210730931362,0.9946872389521682,Nationwide,4.0
0.992529809366932,0.9910858415171937,0.993740613848318,Nationwide,5.0
0.9918561188879085,0.9903547886140179,0.9931245705438665,Nationwide,6.0
0.991121138436714,0.9895599104511922,0.9924497891720417,Nationwide,7.0
0.9904474063564511,0.9888334568673964,0.991829049222095,Nationwide,8.0
0.989589876134498,0.987911497490739,0.9910362853308062,Nationwide,9.0
0.9887935980712548,0.9870577901550115,0.9902977449706746,Nationwide,10.0
0.9881197825850212,0.9863369955512221,0.9896711659589242,Nationwide,11.0
0.9872621460719274,0.9854215071330289,0.9888717050215892,Nationwide,12.0
0.9865882469961106,0.9847035486866473,0.9882421170924217,Nationwide,13.0
0.9856078475208022,0.9836610428780634,0.987324185035772,Nationwide,14.0
0.9849337390632557,0.9829454957876355,0.9866917611212969,Nationwide,15.0
0.9841981191672717,0.9821657310892956,0.9860005502812771,Nationwide,16.0
0.9835850644026227,0.9815167003066159,0.9854236909612482,Nationwide,17.0
0.9832785179136859,0.9811924279263057,0.9851349797542736,Nationwide,18.0
0.98260407358513,0.9804795738291274,0.9844991852061,Nationwide,19.0
0.9822361719039137,0.9800910489453183,0.984152037315989,Nationwide,20.0
0.9816230024352172,0.9794440024349818,0.9835729625180009,Nationwide,21.0
0.9813163793945366,0.9791206604243031,0.9832831667886434,Nationwide,22.0
0.9805804840969016,0.978345223352194,0.9825870733304414,Nationwide,23.0
0.9797832641911316,0.9775060540267326,0.9818320846498381,Nationwide,24.0
0.9794766411504516,0.9771835313755098,0.9815414696242636,Nationwide,25.0
0.9788020704609534,0.976474421463026,0.9809016766808366,Nationwide,26.0
