DON_OPO,CAS_Period,Mean_LUNDON,Median_LUNDON,N,LUNDON_Group
SCOP,Post-CAS,28.028199234057386,16.973988298763096,285,Overall
SCOP,Pre-CAS,32.08917985662597,26.78021126996394,671,Overall
TNDS,Post-CAS,27.833954860141112,15.713238620448287,666,Overall
TNDS,Pre-CAS,24.48987864231389,9.282553122053574,1364,Overall
TNMS,Post-CAS,26.459196503268913,12.782005551298104,146,Overall
TNMS,Pre-CAS,25.911107120582926,16.44525756614352,243,Overall
TXGC,Post-CAS,32.42881908022005,27.344981240066847,611,Overall
TXGC,Pre-CAS,31.683834471939093,26.615405855113355,1477,Overall
TXSA,Post-CAS,38.70119335754691,39.21875026962432,362,Overall
TXSA,Pre-CAS,36.48089427303389,34.84407555538009,793,Overall
TXSB,Post-CAS,43.49089888418983,44.74268644495841,761,Overall
TXSB,Pre-CAS,33.6553098257718,27.644659603229513,1568,Overall
UTOP,Post-CAS,19.032678498350386,9.26694540741845,210,Overall
UTOP,Pre-CAS,20.719289463335627,10.759618086823568,410,Overall
VATB,Post-CAS,30.50970267516616,22.05600681874536,359,Overall
VATB,Pre-CAS,27.341465965063847,16.569565479299854,758,Overall
WALC,Post-CAS,29.895318932723363,24.428253407573735,608,Overall
WALC,Pre-CAS,27.800976308371414,17.093663349302282,1041,Overall
WIDN,Post-CAS,27.551221012836663,18.956988837466056,165,Overall
WIDN,Pre-CAS,36.81000794698395,34.996100912315335,241,Overall
WIUW,Post-CAS,20.40165552034943,9.05201709341833,247,Overall
WIUW,Pre-CAS,23.704721183663274,12.32461348491809,525,Overall
ALOB,Post-CAS,57.78682176750077,63.160831843949424,135,Transplanted
ALOB,Pre-CAS,59.54784105525792,64.9339711049965,201,Transplanted
AROR,Post-CAS,59.42652384768251,61.34135872834858,68,Transplanted
AROR,Pre-CAS,62.96394281255077,66.05621261779048,55,Transplanted
AZOB,Post-CAS,53.64369693550214,54.55606145215991,128,Transplanted
AZOB,Pre-CAS,54.182254503843325,56.70471183784568,288,Transplanted
CADN,Post-CAS,55.9705144248142,58.511100175152144,217,Transplanted
CADN,Pre-CAS,55.86440214516841,58.66502424955807,339,Transplanted
CAGS,Post-CAS,53.03506335494026,53.89340377182923,58,Transplanted
CAGS,Pre-CAS,61.450566326064575,66.50084450250122,81,Transplanted
CAOP,Post-CAS,47.37695899573842,48.76357301091511,407,Transplanted
CAOP,Pre-CAS,50.2477160338242,51.38773462093664,707,Transplanted
CASD,Post-CAS,60.86570094143876,65.13143753475082,90,Transplanted
CASD,Pre-CAS,58.83995198072622,64.42414205832625,126,Transplanted
CORS,Post-CAS,55.765695222509706,56.79965942752827,127,Transplanted
CORS,Pre-CAS,55.04438645574484,56.80660302891953,159,Transplanted
DCTC,Pre-CAS,53.9645137728761,56.65123316468398,164,Transplanted
FLFH,Post-CAS,65.7234098307116,71.99915524966872,115,Transplanted
FLFH,Pre-CAS,61.054605114431325,64.81298710705249,230,Transplanted
FLMP,Post-CAS,51.66573121475775,52.680034162667674,63,Transplanted
FLMP,Pre-CAS,53.40646497004399,54.984387042425034,127,Transplanted
FLUF,Post-CAS,57.241542116630306,61.232473296672126,88,Transplanted
FLUF,Pre-CAS,56.515391681242114,62.79382435306968,140,Transplanted
FLWC,Post-CAS,57.25750644212628,60.09166236143398,127,Transplanted
FLWC,Pre-CAS,57.459158607959345,59.557202559736325,228,Transplanted
GALL,Post-CAS,62.15268278181307,66.50659450209884,287,Transplanted
GALL,Pre-CAS,55.52960054225107,59.59873256299372,331,Transplanted
HIOP,Post-CAS,80.35259315546726,81.32677574323796,4,Transplanted
HIOP,Pre-CAS,76.36374254564836,76.6315904385959,7,Transplanted
IAOP,Post-CAS,46.215863029575154,47.18456327455861,34,Transplanted
IAOP,Pre-CAS,52.88833161495235,55.799938911140465,97,Transplanted
ILIP,Post-CAS,51.55501524764635,53.11788108778644,239,Transplanted
ILIP,Pre-CAS,52.679970412640024,55.697266695592596,431,Transplanted
INOP,Post-CAS,58.40052891474013,64.08599172197269,185,Transplanted
INOP,Pre-CAS,55.55283066178292,57.71900698760658,275,Transplanted
KYDA,Post-CAS,54.35415929399772,55.51518493505342,69,Transplanted
KYDA,Pre-CAS,53.87885736412753,55.67877628863279,125,Transplanted
LAOP,Post-CAS,62.71148580851292,66.47940648204431,132,Transplanted
LAOP,Pre-CAS,65.3698898511368,66.81887898789748,217,Transplanted
MAOB,Post-CAS,51.69592399572483,53.64185581327481,134,Transplanted
MAOB,Pre-CAS,51.26476528742724,54.950872045292584,293,Transplanted
MDPC,Post-CAS,52.18657495106265,56.38955335420356,130,Transplanted
MDPC,Pre-CAS,51.133002828557856,55.621765182415224,164,Transplanted
MIOP,Post-CAS,53.599243214848656,52.98113199268796,174,Transplanted
MIOP,Pre-CAS,55.14327515248918,56.60189615854842,382,Transplanted
MNOP,Post-CAS,51.950838207599624,55.706868819398714,123,Transplanted
