survival_prob,ci_lower,ci_upper,Group,GraftTime
0.99871249440215,0.9980631511216213,0.9991442337444231,Nationwide,0.0
0.9970891177787728,0.9961817224097551,0.9977811151584524,Nationwide,1.0
0.9959693590974562,0.9949247021042348,0.9967993385350098,Nationwide,2.0
0.994457429900582,0.9932547539684419,0.9954461607168629,Nationwide,3.0
0.9933934797250011,0.9920923373806316,0.9944811253244078,Nationwide,4.0
0.9923854132781043,0.9909981219610874,0.9935596024452841,Nationwide,5.0
0.9915453579056904,0.9900906097213267,0.9927873202134433,Nationwide,6.0
0.9907612619380755,0.9892465653842183,0.992063459433707,Nationwide,7.0
0.9901451865349481,0.9885851908067,0.9914929048326396,Nationwide,8.0
0.9893049886621184,0.9876854856067883,0.9907125104572387,Nationwide,9.0
0.988576775941852,0.9869076110891671,0.9900342125379107,Nationwide,10.0
0.9877364352618607,0.9860119427802752,0.9892494871983072,Nationwide,11.0
0.9868400210267961,0.9850586268012732,0.9884102785529333,Nationwide,12.0
0.9861116017516796,0.9842854295898268,0.9877268815276233,Nationwide,13.0
0.9851588910657422,0.9832759490987909,0.9868312565758122,Nationwide,14.0
0.9844863128844366,0.9825644267666173,0.9861978439686979,Nationwide,15.0
0.9838135048797321,0.9818535212210829,0.9855633516644265,Nationwide,16.0
0.9831967290588234,0.9812025424405726,0.9849809783331261,Nationwide,17.0
0.9828602483165022,0.980847676844997,0.9846629905883516,Nationwide,18.0
0.9822432965514096,0.9801974989691463,0.9840794624631045,Nationwide,19.0
0.981850668463478,0.9797840409499107,0.9837077898371207,Nationwide,20.0
0.9811215020144611,0.9790168134282543,0.9830169177837312,Nationwide,21.0
0.9807288290290936,0.9786039634031596,0.9826445470873858,Nationwide,22.0
0.9800556753398885,0.9778967220542892,0.9820056959631316,Nationwide,23.0
0.9793264255099187,0.9771312277427829,0.9813129236805053,Nationwide,24.0
0.9789898486653167,0.9767781526446149,0.9809929527398239,Nationwide,25.0
0.9783727911168794,0.9761312109074258,0.9804059768632529,Nationwide,26.0
0.9777556274110477,0.9754846049288891,0.9798184520799119,Nationwide,27.0
0.9774750823555539,0.9751908201817444,0.9795512360207956,Nationwide,28.0
0.976913992244563,0.9746035137373056,0.979016540980275,Nationwide,29.0
0.9759040300447818,0.9735472120690003,0.9780532403735533,Nationwide,30.0
0.975174570960686,0.9727849296948611,0.9773568371695381,Nationwide,31.0
0.9747817853000204,0.9723746857239434,0.9769816351620533,Nationwide,32.0
0.9744451118765913,0.972023164866189,0.9766599166636599,Nationwide,33.0
0.9741084190651161,0.9716717284571382,0.9763380748351587,Nationwide,34.0
0.9734349946482014,0.9709691223784073,0.9756940467022689,Nationwide,35.0
0.9730982824397463,0.9706179701346457,0.9753718819177147,Nationwide,36.0
0.9725370630600593,0.9700328981791163,0.9748346939633565,Nationwide,37.0
0.9719758436803727,0.9694480907064457,0.9742972416661221,Nationwide,38.0
0.9716952015819487,0.9691557484195062,0.9740283890679513,Nationwide,39.0
0.9712460963989428,0.9686880473020364,0.9735980222446378,Nationwide,40.0
