Year,Month,DON_OPO,CAS_Period,DCD,Total_Donors,Used_Donors,Utilization_Rate,DCU_Rate
2018,9,NYFL,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,9,NYRT,Pre-CAS,0.0,20,6.0,0.3,0.0
2018,9,NYRT,Pre-CAS,1.0,5,1.0,0.2,0.0
2018,9,NYWN,Pre-CAS,0.0,3,1.0,0.3333333333333333,0.0
2018,9,NYWN,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,9,OHLB,Pre-CAS,0.0,6,1.0,0.16666666666666666,0.0
2018,9,OHLC,Pre-CAS,0.0,9,1.0,0.1111111111111111,0.0
2018,9,OHLC,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,9,OHLP,Pre-CAS,0.0,7,1.0,0.14285714285714285,0.0
2018,9,OHLP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,9,OHOV,Pre-CAS,0.0,3,0.0,0.0,0.0
2018,9,OHOV,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,9,OKOP,Pre-CAS,0.0,6,2.0,0.3333333333333333,0.0
2018,9,OKOP,Pre-CAS,1.0,5,1.0,0.2,0.0
2018,9,ORUO,Pre-CAS,0.0,8,3.0,0.375,0.0
2018,9,ORUO,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,9,PADV,Pre-CAS,0.0,45,9.0,0.2,0.0
2018,9,PADV,Pre-CAS,1.0,9,0.0,0.0,0.0
2018,9,PATF,Pre-CAS,0.0,12,5.0,0.4166666666666667,1.0
2018,9,PATF,Pre-CAS,1.0,2,0.0,0.0,1.0
2018,9,PRLL,Pre-CAS,0.0,8,2.0,0.25,0.0
2018,9,SCOP,Pre-CAS,0.0,10,6.0,0.6,0.0
2018,9,SCOP,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,9,TNDS,Pre-CAS,0.0,16,2.0,0.125,0.0
2018,9,TNDS,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,9,TNMS,Pre-CAS,0.0,6,0.0,0.0,0.0
2018,9,TNMS,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,9,TXGC,Pre-CAS,0.0,25,7.0,0.28,0.0
2018,9,TXGC,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,9,TXSA,Pre-CAS,0.0,15,7.0,0.4666666666666667,0.0
