Year,Month,OPO,OPO_Zip,OPO_Lat,OPO_Lon,Center,Center_Zip,Center_Lat,Center_Lon,Count,DCU_Rate
2018,1,MWOB,66205,39.0278,-94.6558,MOBH,63110,38.6185,-90.2564,2,0.0
2018,1,MWOB,66205,39.0278,-94.6558,NEUN,68105,41.2435,-95.9629,3,0.0
2018,1,MWOB,66205,39.0278,-94.6558,OHCC,44195,41.6857,-81.6728,2,0.0
2018,1,MWOB,66205,39.0278,-94.6558,OKBC,73112,35.5184,-97.5746,1,0.0
2018,1,NCCM,28211,35.1677,-80.7932,KYUK,40536,38.0321,-84.5084,1,0.0
2018,1,NCCM,28211,35.1677,-80.7932,NCDU,27710,36.0512,-78.8577,1,0.0
2018,1,NCCM,28211,35.1677,-80.7932,OHOU,43210,40.0028,-83.0164,1,0.0
2018,1,NCNC,27858,35.5866,-77.3485,NCDU,27710,36.0512,-78.8577,2,0.0
2018,1,NJTO,07974,40.7004,-74.4023,MAPB,02115,42.3427,-71.0922,1,0.0
2018,1,NJTO,07974,40.7004,-74.4023,NYCP,10032,40.8382,-73.942,1,0.0
2018,1,NJTO,07974,40.7004,-74.4023,NYMA,10467,40.8737,-73.8712,1,0.0
2018,1,NJTO,07974,40.7004,-74.4023,PATU,19140,40.0118,-75.1456,2,0.0
2018,1,NVLV,89104,36.152,-115.1092,AZSJ,85013,33.5085,-112.0827,2,0.0
2018,1,NVLV,89104,36.152,-115.1092,CAUC,90095,33.7866,-118.2987,2,0.0
2018,1,NYFL,14623,43.0834,-77.6344,MDUM,21201,39.2946,-76.6252,1,0.0
2018,1,NYRT,11101,40.7446,-73.9345,NYCP,10032,40.8382,-73.942,1,0.0
2018,1,NYRT,11101,40.7446,-73.9345,NYMA,10467,40.8737,-73.8712,1,0.0
2018,1,NYRT,11101,40.7446,-73.9345,PAUP,19104,39.9597,-75.2024,1,0.0
2018,1,OHLB,44128,41.4416,-81.5486,ILLU,60141,41.8623,-87.8355,1,0.0
2018,1,OHLB,44128,41.4416,-81.5486,KYUK,40536,38.0321,-84.5084,1,0.0
2018,1,OHLB,44128,41.4416,-81.5486,OHCC,44195,41.6857,-81.6728,1,0.0
2018,1,OHLB,44128,41.4416,-81.5486,OHOU,43210,40.0028,-83.0164,1,0.0
